id_filial,descricao,empresa,desc_empresa,id_produto,id_epi,descricao_produto,id_tamanho,qtde_entrada,saldoestoque,dataentrada
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,52781,19,BOTA COM BICO DE ACO TAM 42,22,1.000000,-6.000000,2024-05-07 17:01:44.197
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,520437,76,BOTA COM BICO DE COMPOSITE TAM 43,23,1.000000,-3.000000,2024-05-08 11:51:21.613
515,MATEUS SUPERMERCADOS S.A. MIX PAULISTA-MARANGUAPE,2,MATEUS SUPERMERCADOS,52101,23,BOTA COM BICO DE PLASTICO TAM 36,16,1.000000,2.000000,2024-05-08 11:41:33.160
515,MATEUS SUPERMERCADOS S.A. MIX PAULISTA-MARANGUAPE,2,MATEUS SUPERMERCADOS,52101,23,BOTA COM BICO DE PLASTICO TAM 36,16,1.000000,1.000000,2024-05-08 11:41:32.003
453,POSTERUS SUPERMERCADOS LTDA. ITUPIRANGA,15,POSTERUS SUPERMERCADOS,52782,19,BOTA COM BICO DE ACO TAM 41,21,1.000000,5.000000,2024-05-07 10:37:36.327
415,POSTERUS SUPERMERCADOS LTDA. SAO BERNARDO,15,POSTERUS SUPERMERCADOS,52378,23,BOTA COM BICO DE PLASTICO TAM 42,22,1.000000,2.000000,2024-05-29 14:30:53.903
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,52334,23,BOTA COM BICO DE PLASTICO TAM 41,21,1.000000,-5.000000,2024-05-24 14:33:48.490
515,MATEUS SUPERMERCADOS S.A. MIX PAULISTA-MARANGUAPE,2,MATEUS SUPERMERCADOS,240535,26,CALCA FRIGORIFICA AZUL TAM XG,9,6.000000,6.000000,2024-05-06 19:13:59.367
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,52716,4,OCULOS DE SEGURANï¿½A INCOLOR,11,1.000000,-1.000000,2024-06-03 10:20:15.100
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,52716,4,OCULOS DE SEGURANï¿½A INCOLOR,11,1.000000,0.000000,2024-06-03 19:09:15.367
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,95169,74,LUVA NITRILICA VERDE TAM P,2,1.000000,-3.000000,2024-05-08 11:14:11.233
515,MATEUS SUPERMERCADOS S.A. MIX PAULISTA-MARANGUAPE,2,MATEUS SUPERMERCADOS,52334,23,BOTA COM BICO DE PLASTICO TAM 41,21,1.000000,1.000000,2024-05-08 11:41:32.057
515,MATEUS SUPERMERCADOS S.A. MIX PAULISTA-MARANGUAPE,2,MATEUS SUPERMERCADOS,52334,23,BOTA COM BICO DE PLASTICO TAM 41,21,1.000000,2.000000,2024-05-08 11:41:33.183
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,149369,21,BOTA PVC CANO MEDIO BRANCA TAM 37,17,1.000000,1.000000,2024-06-03 10:20:15.117
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,1.000000,107.000000,2024-05-08 09:30:56.987
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,1.000000,105.000000,2024-05-08 09:37:28.140
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,1.000000,102.000000,2024-05-08 09:42:31.670
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,1.000000,100.000000,2024-05-08 09:44:32.013
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,1.000000,98.000000,2024-05-08 09:46:38.660
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,1.000000,95.000000,2024-05-08 10:37:00.017
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,52705,72,LUVA P/FRIO TAM M,3,1.000000,5.000000,2024-05-08 10:20:50.077
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,52781,19,BOTA COM BICO DE ACO TAM 42,22,1.000000,-7.000000,2024-05-08 10:28:04.977
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,33.000000,126.000000,2024-05-13 20:33:50.007
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,52705,72,LUVA P/FRIO TAM M,3,1.000000,1.000000,2024-05-15 09:33:33.150
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,1.000000,123.000000,2024-05-29 10:51:40.010
453,POSTERUS SUPERMERCADOS LTDA. ITUPIRANGA,15,POSTERUS SUPERMERCADOS,52522,100,PRE-FILTRO P/MASCARA SEMI FACIAL 3M,11,1.000000,1.000000,2024-05-07 14:28:37.407
285,MATEUS SUPERMERCADOS S.A. SUPER CRATEUS,2,MATEUS SUPERMERCADOS,240534,26,CALCA FRIGORIFICA AZUL TAM P,2,1.000000,-3.000000,2024-05-17 19:09:29.557
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,52334,23,BOTA COM BICO DE PLASTICO TAM 41,21,1.000000,-3.000000,2024-05-18 11:26:00.837
203,MATEUS SUPERMERCADOS S.A. SUPER TAILANDIA,2,MATEUS SUPERMERCADOS,52334,23,BOTA COM BICO DE PLASTICO TAM 41,21,5.000000,3.000000,2024-05-20 15:18:21.060
203,MATEUS SUPERMERCADOS S.A. SUPER TAILANDIA,2,MATEUS SUPERMERCADOS,89966,21,BOTA PVC CANO MEDIO BRANCA TAM 42,22,2.000000,0.000000,2024-05-20 15:18:21.063
60,INDUSTRIA DE PAES E MASSAS MATEUS LTDA. FABRICA DE PAES,1,INDUSTRIA DE MASSAS E PAES,89953,26,CALCA FRIGORIFICA AZUL TAM M,3,1.000000,11.000000,2024-05-19 18:24:33.800
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,89961,21,BOTA PVC CANO MEDIO BRANCA TAM 40,20,1.000000,0.000000,2024-05-28 10:04:17.853
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,1.000000,28.000000,2024-05-08 09:15:52.090
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,52704,72,LUVA P/FRIO TAM G,4,1.000000,4.000000,2024-05-08 09:26:23.573
