 id_filial                                                               descricao  empresa               desc_empresa  id_produto  id_epi                       descricao_produto  id_tamanho qtde_entrada saldoestoque             dataentrada
         5                                   MATEUS SUPERMERCADOS S.A. SUPER COHAB        2       MATEUS SUPERMERCADOS       52700      13                    LUVA MALHA ACO TAM G           4     1.000000     0.000000 2015-12-20 13:56:32.297
        31                             MATEUS SUPERMERCADOS S.A. SUPER PATIO NORTE        2       MATEUS SUPERMERCADOS      149446      22          BOTA HIDROFUGADA BRANCA TAM 36          16     5.000000     0.000000 2015-03-05 16:00:30.147
        11                         MATEUS SUPERMERCADOS S.A. SUPER CIDADE OPERARIA        2       MATEUS SUPERMERCADOS       92471       8                        LUVA LATEX TAM M           3     1.000000     0.000000 2015-05-19 13:00:03.953
       502                             MATEUS SUPERMERCADOS S.A. SUPER SANTA CLARA        2       MATEUS SUPERMERCADOS      361264      80                        LUVA DE PU TAM G           4     1.000000     6.000000 2024-04-24 13:05:35.957
       276                                    MATEUS SUPERMERCADOS S.A. MIX BENGUI        2       MATEUS SUPERMERCADOS      310221      33                         MANGOTE TERMICO          11     2.000000     1.000000 2024-04-17 09:44:41.050
       453                                 POSTERUS SUPERMERCADOS LTDA. ITUPIRANGA       15     POSTERUS SUPERMERCADOS       51475      25          JAPONA FRIGORIFICA AZUL TAM GG           5     1.000000     0.000000 2024-01-12 10:57:29.227
       276                                    MATEUS SUPERMERCADOS S.A. MIX BENGUI        2       MATEUS SUPERMERCADOS      149451      22          BOTA HIDROFUGADA BRANCA TAM 38          18     1.000000     1.000000 2024-04-23 09:37:09.120
       453                                 POSTERUS SUPERMERCADOS LTDA. ITUPIRANGA       15     POSTERUS SUPERMERCADOS       89959      21       BOTA PVC CANO MEDIO BRANCA TAM 38          18     3.000000     1.000000 2024-04-29 16:01:37.287
         6                                  MATEUS SUPERMERCADOS S.A. - RENASCENCA        2       MATEUS SUPERMERCADOS      149446      22          BOTA HIDROFUGADA BRANCA TAM 36          16     1.000000     0.000000 2016-05-23 08:36:29.310
        27                                    MATEUS SUPERMERCADOS S.A. SUPER TURU        2       MATEUS SUPERMERCADOS       89969      21       BOTA PVC CANO MEDIO BRANCA TAM 44          24     2.000000     0.000000 2014-09-19 17:50:01.033
        94                                    MATEUS SUPERMERCADOS S.A. MIX BALSAS        2       MATEUS SUPERMERCADOS       52718      40                        AVENTAL EM RASPA          11     4.000000     0.000000 2015-07-24 15:54:06.280
        71                             MATEUS SUPERMERCADOS S.A. ELETRO IMPERATRIZ        2       MATEUS SUPERMERCADOS       52776      19             BOTA COM BICO DE ACO TAM 38          18     1.000000     0.000000 2015-11-10 14:30:01.920
        18                                MATEUS SUPERMERCADOS S.A. SUPER COHATRAC        2       MATEUS SUPERMERCADOS       51479      26            CALCA FRIGORIFICA AZUL TAM G           4     7.000000     0.000000 2014-06-18 15:58:20.343
        11                         MATEUS SUPERMERCADOS S.A. SUPER CIDADE OPERARIA        2       MATEUS SUPERMERCADOS       52774      19             BOTA COM BICO DE ACO TAM 36          16     1.000000     0.000000 2014-12-02 19:40:04.540
        26                               MATEUS SUPERMERCADOS S.A. MIX NOVA MARABA        2       MATEUS SUPERMERCADOS      149459      22          BOTA HIDROFUGADA BRANCA TAM 44          24     4.000000     0.000000 2019-04-20 09:41:44.610
       115                                        ARMAZEM MATEUS S.A. CD 115 BELEM        4         ARMAZEM MATEUS S.A       52701      13                    LUVA MALHA ACO TAM M           3    24.000000     0.000000 2021-02-22 18:36:28.337
        94                                    MATEUS SUPERMERCADOS S.A. MIX BALSAS        2       MATEUS SUPERMERCADOS       52328      23        BOTA COM BICO DE PLASTICO TAM 39          19     1.000000     0.000000 2015-12-16 09:50:06.350
        95                                MATEUS SUPERMERCADOS S.A. MIX TAMANDARE         2       MATEUS SUPERMERCADOS      149440      22          BOTA HIDROFUGADA BRANCA TAM 34          14     1.000000     0.000000 2015-12-18 17:23:46.467
